,produto,preco,preco_antigo,descricao_produto,parcelas_sem_juros,frete_gratis,diferenca,desconto_porcento,media_desconto,mediana
757,Amaciante de Roupa Concentrado Puro Cuidado Comfort Sachê 900ml Refil Embalagem Econômica,12,15,"R$ 15
R$ 1259
20% OFF
Amaciante de Roupa Concentrado Puro Cuidado Comfort Sachê 900ml Refil Embalagem Econômica
por Extra",0,NÃO,3,20.0,80.78,20.0
758,Barbeador Philips Multigroom 2 Em 1 À Prova Dágua Mg1100/16,114,169,"OFERTA DO DIA
R$ 169
R$ 11444
32% OFF
Barbeador Philips Multigroom 2 Em 1 À Prova Dágua Mg1100/16
por Philips",0,NÃO,55,32.54,80.78,20.0
759,Kit 2 Peças Sutiã Sem Costura 5d Confort Plus Pronta Entrega,95,109,"R$ 109
R$ 9561
13% OFF
Frete grátis
Kit 2 Peças Sutiã Sem Costura 5d Confort Plus Pronta Entrega",0,SIM,14,12.84,80.78,20.0
760,Kit 3 Conjunto Moletom Flanelado Infantil Menina/menino,126,134,"R$ 134
R$ 12680
6% OFF
Frete grátis
Kit 3 Conjunto Moletom Flanelado Infantil Menina/menino
por Mega Kids",0,SIM,8,5.97,80.78,20.0
761,Conversor E Gravador Digital Full Hd Dtv7000s Preto Aquário,98,109,"R$ 109
R$ 9891
10% OFF
Frete grátis
Conversor E Gravador Digital Full Hd Dtv7000s Preto Aquário",0,SIM,11,10.09,80.78,20.0
762,Kit Travesseiro 04 Peças Percal Com 200 Fios - Ortobom,175,194,"R$ 194
R$ 175
10% OFF
6x R$ 2917 sem juros
Frete grátis
Kit Travesseiro 04 Peças Percal Com 200 Fios - Ortobom",6,SIM,19,9.79,80.78,20.0
763,Máscara Cirúrgica Tripla Descartável Com Elástico - Clássica,21,24,"R$ 24
R$ 2124
15% OFF
Máscara Cirúrgica Tripla Descartável Com Elástico - Clássica",0,NÃO,3,12.5,80.78,20.0
764,Manta Asfáltica Aluminizada Telhado Auto Adesiva- 45cm X 10m,94,105,"R$ 105
R$ 94
10% OFF
Frete grátis
Manta Asfáltica Aluminizada Telhado Auto Adesiva- 45cm X 10m
por Ismafer Ferramentas",0,SIM,11,10.48,80.78,20.0
765,Kit Lote 6 Conjuntos Infantil Masculino Ou Feminino Atacado Revenda De Roupas Infantis Baratas Menino E Menina Verão,145,154,"OFERTA DO DIA
R$ 154
R$ 14560
6% OFF
6x R$ 2427 sem juros
Frete grátis
Kit Lote 6 Conjuntos Infantil Masculino Ou Feminino Atacado Revenda De Roupas Infantis Baratas Menino E Menina Verão
por Mega Kids",6,SIM,9,5.84,80.78,20.0
766,Kit Led H4 Mini Projetor Canhão Eliptico Shocklight Carro,332,369,"R$ 369
R$ 33291
10% OFF
Frete grátis
Kit Led H4 Mini Projetor Canhão Eliptico Shocklight Carro
por Auto Equip",0,SIM,37,10.03,80.78,20.0
767,Copo Térmico De Cerveja Stanley Com Tampa 473ml,211,234,"R$ 234
R$ 21141
10% OFF
Frete grátis
1% vendido
Restam02:11:51
Copo Térmico De Cerveja Stanley Com Tampa 473ml",0,SIM,23,9.83,80.78,20.0
768,Puff Multiuso Bordado Matelassê + Travesseiro Solteiro Preto,162,209,"R$ 209
R$ 162
22% OFF
5% OFF com Pix
Puff Multiuso Bordado Matelassê + Travesseiro Solteiro Preto
por BF Colchoes",0,NÃO,47,22.49,80.78,20.0
769,Kit Colcha Solt. Percal Buddemeyer Vintique Estampado 2pçs,319,399,"OFERTA DO DIA
R$ 399
R$ 31990
20% OFF
10x R$ 3199 sem juros
Frete grátis
Kit Colcha Solt. Percal Buddemeyer Vintique Estampado 2pçs
por Buddemeyer",10,SIM,80,20.05,80.78,20.0
770,Blusa Blusinha Feminina Manga Curta Bufante Princesa Canelad,22,25,"R$ 25
R$ 2279
12% OFF
Blusa Blusinha Feminina Manga Curta Bufante Princesa Canelad",0,NÃO,3,12.0,80.78,20.0
771,Churrasqueira elétrica Mondial CH-07 127V preta,125,148,"R$ 148
R$ 12505
16% OFF
Frete grátis
Churrasqueira elétrica Mondial CH-07 127V preta
por Dutra Maquinas",0,SIM,23,15.54,80.78,20.0
772,Câmera De Segurança Ip À Prova D'agua Infravermelho Wifi Hd,257,289,"R$ 289
R$ 25721
11% OFF
Frete grátis
Câmera De Segurança Ip À Prova D'agua Infravermelho Wifi Hd",0,SIM,32,11.07,80.78,20.0
773,Bolsa Feminina Modinha Tiracolo Lançamento Via Livre Lateral,75,79,"R$ 79
R$ 7590
5% OFF
6x R$ 1265 sem juros
1% vendido
Restam02:11:46
Bolsa Feminina Modinha Tiracolo Lançamento Via Livre Lateral",6,NÃO,4,5.06,80.78,20.0
774,Kit Sobrancelhas Profissional Completo Acessorios Maleta Mix,169,198,"R$ 198
R$ 16906
15% OFF
Frete grátis
Kit Sobrancelhas Profissional Completo Acessorios Maleta Mix",0,SIM,29,14.65,80.78,20.0
775,Suplemento em pó Black Skull Creatine Turbo creatina em pote de 300g,68,77,"R$ 77
R$ 6868
11% OFF
Suplemento em pó Black Skull Creatine Turbo creatina em pote de 300g
por Body Builders",0,NÃO,9,11.69,80.78,20.0
776,"Multímetro Digital, Capacímetro, Afr Mt- 4300 True Rms",161,179,"R$ 179
R$ 16110
10% OFF
Frete grátis
Multímetro Digital, Capacímetro, Afr Mt- 4300 True Rms",0,SIM,18,10.06,80.78,20.0
777,Óleo Desengripante Lubrificante Anticorrosivo Luxcar 300ml,21,26,"OFERTA DO DIA
R$ 26
R$ 2104
21% OFF
Óleo Desengripante Lubrificante Anticorrosivo Luxcar 300ml",0,NÃO,5,19.23,80.78,20.0
778,Processador Crossover De Áudio Digital Stetsom Stx2448,300,349,"R$ 349
R$ 30014
14% OFF
Frete grátis
Processador Crossover De Áudio Digital Stetsom Stx2448
por Radical Som",0,SIM,49,14.04,80.78,20.0
779,Barbeador Elétrico Philips Multigroom Maquina De Barbear,178,197,"OFERTA DO DIA
R$ 197
R$ 17811
10% OFF
Frete grátis
Barbeador Elétrico Philips Multigroom Maquina De Barbear",0,SIM,19,9.64,80.78,20.0
780,Pistola De Pintura Automotiva 600 Ml Hvlp Pro 550 Pdr,160,177,"R$ 177
R$ 16011
10% OFF
Frete grátis
Pistola De Pintura Automotiva 600 Ml Hvlp Pro 550 Pdr
por DdMaquinas",0,SIM,17,9.6,80.78,20.0
781,10 Vidros Santinha Nossa Senhora 60ml + 10 Mini Terço,57,63,"R$ 63
R$ 5755
10% OFF
10 Vidros Santinha Nossa Senhora 60ml + 10 Mini Terço",0,NÃO,6,9.52,80.78,20.0
782,Jogo De Tapetes Speed Universal 4 Peças Luxcar,111,124,"OFERTA DO DIA
R$ 124
R$ 11116
11% OFF
6x R$ 1853 sem juros
Frete grátis
Jogo De Tapetes Speed Universal 4 Peças Luxcar",6,SIM,13,10.48,80.78,20.0
783,Suco de uva e maçã Natural One Ambiente sem glúten 1.5 L,12,16,"R$ 16
R$ 1249
24% OFF
Suco de uva e maçã Natural One Ambiente sem glúten 1.5 L
por BHR",0,NÃO,4,25.0,80.78,20.0
784,Alto-falante TRC Sound TRC 5507 portátil com bluetooth preto 110V/220V,154,249,"R$ 249
R$ 154
38% OFF
Frete grátis
Alto-falante TRC Sound TRC 5507 portátil com bluetooth preto 110V/220V
por Mercado Livre",0,SIM,95,38.15,80.78,20.0
785,Kit Colcha Queen Buddemeyer Oxford Cinza C/ Vermelho 3pçs,359,499,"OFERTA DO DIA
R$ 499
R$ 35992
28% OFF
Frete grátis
Kit Colcha Queen Buddemeyer Oxford Cinza C/ Vermelho 3pçs
por Buddemeyer",0,SIM,140,28.06,80.78,20.0
787,Kit 10 Spot Led 3w Fênix Kian Redonda Direcionável,104,124,"OFERTA DO DIA
R$ 124
R$ 10492
15% OFF
6x R$ 1749 sem juros
Frete grátis
Kit 10 Spot Led 3w Fênix Kian Redonda Direcionável",6,SIM,20,16.13,80.78,20.0
788,Kit Colcha Casal Percal Buddemeyer Vintique Estampado 3peças,409,499,"OFERTA DO DIA
R$ 499
R$ 40990
18% OFF
Frete grátis
Kit Colcha Casal Percal Buddemeyer Vintique Estampado 3peças
por Buddemeyer",0,SIM,90,18.04,80.78,20.0
789,Kit Unha Gel Completo Cabine Lixa Bivolt Brinde Alongamento,296,349,"R$ 349
R$ 29665
15% OFF
Frete grátis
Kit Unha Gel Completo Cabine Lixa Bivolt Brinde Alongamento",0,SIM,53,15.19,80.78,20.0
790,Fita Antiderrapante 20 Metros Preta Escadas Pisos Poliéster,117,124,"OFERTA DO DIA
R$ 124
R$ 11745
5% OFF
Frete grátis
Fita Antiderrapante 20 Metros Preta Escadas Pisos Poliéster",0,SIM,7,5.65,80.78,20.0
791,Fio Cabo Elétrico 4mm Sil Cobre Com 100 Metros Flexível,349,399,"OFERTA DO DIA
R$ 399
R$ 34999
12% OFF
Frete grátis
Fio Cabo Elétrico 4mm Sil Cobre Com 100 Metros Flexível",0,SIM,50,12.53,80.78,20.0
792,Spot Led Quadrado Fama 5w Bivolt Direcionável Branco Frio,15,18,"OFERTA DO DIA
R$ 18
R$ 1504
20% OFF
Spot Led Quadrado Fama 5w Bivolt Direcionável Branco Frio",0,NÃO,3,16.67,80.78,20.0
793,Colete Oakley Colete Ap Vest Oakley + 4 Tags Personalizadas,296,329,"R$ 329
R$ 29610
10% OFF
Frete grátis
Colete Oakley Colete Ap Vest Oakley + 4 Tags Personalizadas",0,SIM,33,10.03,80.78,20.0
794,Almofada 60x60cm Buddemeyer Dobby Verde,119,199,"OFERTA DO DIA
R$ 199
R$ 11990
40% OFF
Frete grátis
Almofada 60x60cm Buddemeyer Dobby Verde
por Buddemeyer",0,SIM,80,40.2,80.78,20.0
795,Hipercalórico Mass 36500 Gainers 3kg - Zero Soja E Glúten,57,63,"R$ 63
R$ 5733
10% OFF
6x R$ 956 sem juros
Hipercalórico Mass 36500 Gainers 3kg - Zero Soja E Glúten",6,NÃO,6,9.52,80.78,20.0
796,Bico Mamadeira Avent Pétala Nº4 - 6m+ 2 Unidades,49,54,"R$ 54
R$ 4948
10% OFF
Bico Mamadeira Avent Pétala Nº4 - 6m+ 2 Unidades",0,NÃO,5,9.26,80.78,20.0
797,Jogo De Cama 100% Algodao Percal 200 Fios Casal Queen,64,74,"R$ 74
R$ 64
14% OFF
6x R$ 1067 sem juros
Jogo De Cama 100% Algodao Percal 200 Fios Casal Queen",6,NÃO,10,13.51,80.78,20.0
798,Kit 20 Lampada Led Halopim G9 5w Para Lustre E Arandelas,171,186,"R$ 186
R$ 17153
8% OFF
Frete grátis
1% vendido
Restam02:11:46
Kit 20 Lampada Led Halopim G9 5w Para Lustre E Arandelas",0,SIM,15,8.06,80.78,20.0
799,Sabão líquido Omo Lavagem Perfeita galão 3 L,32,42,"R$ 42
R$ 3290
22% OFF
Sabão líquido Omo Lavagem Perfeita galão 3 L
por Mercado Livre",0,NÃO,10,23.81,80.78,20.0
800,Controle Longa Distancia Jfa K600 Preto Com Laranja,46,51,"R$ 51
R$ 4671
10% OFF
Controle Longa Distancia Jfa K600 Preto Com Laranja
por Radical Som",0,NÃO,5,9.8,80.78,20.0
801,Jogo De Toalhas Buddemeyer Clara Banho Vermelho 2 Peças,83,99,"OFERTA DO DIA
R$ 99
R$ 8390
16% OFF
Frete grátis
Jogo De Toalhas Buddemeyer Clara Banho Vermelho 2 Peças
por Buddemeyer",0,SIM,16,16.16,80.78,20.0
802,Furadeira elétrica de 10mm Bosch Professional GSR 7-14 E 400W azul 127V con caixa de papelão,270,369,"R$ 369
R$ 27090
26% OFF
Frete grátis
Furadeira elétrica de 10mm Bosch Professional GSR 7-14 E 400W azul 127V con caixa de papelão
por Luitex Ferramentas",0,SIM,99,26.83,80.78,20.0
804,Kit 4 Calça Jeans Feminina Cintura Alta Frete Gratis,170,189,"OFERTA DO DIA
R$ 189
R$ 17090
10% OFF
Frete grátis
Kit 4 Calça Jeans Feminina Cintura Alta Frete Gratis",0,SIM,19,10.05,80.78,20.0
805,Grade De Proteção Para Cama - Serve Cama Box Bebês E Idosos,46,52,"R$ 52
R$ 4680
10% OFF
Grade De Proteção Para Cama - Serve Cama Box Bebês E Idosos",0,NÃO,6,11.54,80.78,20.0
806,Limpa Estofados Spray Luxcar Frasco 400ml,22,27,"OFERTA DO DIA
R$ 27
R$ 2288
17% OFF
Limpa Estofados Spray Luxcar Frasco 400ml",0,NÃO,5,18.52,80.78,20.0
808,Jogo De Toalhas Buddemeyer Olímpia Banho Vermelho 4 Peças,139,159,"OFERTA DO DIA
R$ 159
R$ 13990
12% OFF
Frete grátis
Jogo De Toalhas Buddemeyer Olímpia Banho Vermelho 4 Peças
por Buddemeyer",0,SIM,20,12.58,80.78,20.0
809,Carregador Veicular + Cabo Dados Luxcar Android Micro B 12v,43,51,"OFERTA DO DIA
R$ 51
R$ 4360
15% OFF
Carregador Veicular + Cabo Dados Luxcar Android Micro B 12v",0,NÃO,8,15.69,80.78,20.0
810,Doce De Banana Paraibuna Zero Açúcar Caixa 40un Sem Glúten,67,78,"R$ 78
R$ 6714
15% OFF
6x R$ 1119 sem juros
Doce De Banana Paraibuna Zero Açúcar Caixa 40un Sem Glúten",6,NÃO,11,14.1,80.78,20.0
811,"Soprador Térmico C/ Kit De Bicos, Espátula E Maleta Gamma",152,169,"R$ 169
R$ 15291
10% OFF
6x R$ 2549 sem juros
Frete grátis
Soprador Térmico C/ Kit De Bicos, Espátula E Maleta Gamma
por DdMaquinas",6,SIM,17,10.06,80.78,20.0
812,Caixa Base De Madeira C/ Gaveta Máquina De Costura Doméstica,134,141,"R$ 141
R$ 13450
5% OFF
6x R$ 2242 sem juros
Frete grátis
1% vendido
Restam02:11:46
Caixa Base De Madeira C/ Gaveta Máquina De Costura Doméstica",6,SIM,7,4.96,80.78,20.0
813,Cama Box Colchão Solteirão Ortopédico Espuma D33 97x203,751,997,"OFERTA DO DIA
R$ 997
R$ 751
24% OFF
10x R$ 7510 sem juros
5% OFF com Pix
Cama Box Colchão Solteirão Ortopédico Espuma D33 97x203
por BF Colchoes",10,NÃO,246,24.67,80.78,20.0
814,Fone Bluetooth F9 Tws Original Bateria Longa Duração 5 Horas,129,150,"R$ 150
R$ 129
14% OFF
6x R$ 2150 sem juros
Frete grátis
Fone Bluetooth F9 Tws Original Bateria Longa Duração 5 Horas",6,SIM,21,14.0,80.78,20.0
815,Multímetro Profissional Capacimetro Digital Beep Multiteste,54,59,"R$ 59
R$ 5451
8% OFF
Multímetro Profissional Capacimetro Digital Beep Multiteste",0,NÃO,5,8.47,80.78,20.0
816,Kit 2 Controle Remoto Portão Eletrônico Ppa Garen Rcg 433mhz,39,41,"R$ 41
R$ 3980
5% OFF
6x R$ 663 sem juros
60% vendido
Restam02:11:38
Kit 2 Controle Remoto Portão Eletrônico Ppa Garen Rcg 433mhz",6,NÃO,2,4.88,80.78,20.0
817,Calcinha Cotton Tanga Biquíni 6 Unidades Sortidas Gg,37,44,"OFERTA DO DIA
R$ 44
R$ 3720
16% OFF
Calcinha Cotton Tanga Biquíni 6 Unidades Sortidas Gg
por Zacaza",0,NÃO,7,15.91,80.78,20.0
818,Grade De Proteção Para Pet Cães Para Portas Portão - 80cm.,71,78,"R$ 78
R$ 7101
10% OFF
Grade De Proteção Para Pet Cães Para Portas Portão - 80cm.",0,NÃO,7,8.97,80.78,20.0
819,Adaptador Receptor Áudio Bluetooth P2 Som Carro,21,23,"R$ 23
R$ 2159
10% OFF
Adaptador Receptor Áudio Bluetooth P2 Som Carro",0,NÃO,2,8.7,80.78,20.0
820,Dispenser Bomba Elétrica Galão Água Recarregável - Luxuoso,52,60,"R$ 60
R$ 5280
12% OFF
Dispenser Bomba Elétrica Galão Água Recarregável - Luxuoso",0,NÃO,8,13.33,80.78,20.0
821,Strobo Ajk Rítmico Rgb Lançamento 2019 3 Geração 2 Faróis,107,119,"R$ 119
R$ 10710
10% OFF
6x R$ 1785 sem juros
Frete grátis
Strobo Ajk Rítmico Rgb Lançamento 2019 3 Geração 2 Faróis
por Auto Equip",6,SIM,12,10.08,80.78,20.0
822,Carregador Portatil 10.000 Mah Compatível C/iPhone 6s,84,88,"R$ 88
R$ 8445
5% OFF
Frete grátis
1% vendido
Restam02:11:37
Carregador Portatil 10.000 Mah Compatível C/iPhone 6s",0,SIM,4,4.55,80.78,20.0
823,Jogode Cama Solteiro Percal 180fios Buddemeyer Grid Cinza3pç,219,289,"OFERTA DO DIA
R$ 289
R$ 21990
24% OFF
7x R$ 3141 sem juros
Frete grátis
Jogode Cama Solteiro Percal 180fios Buddemeyer Grid Cinza3pç
por Buddemeyer",7,SIM,70,24.22,80.78,20.0
824,Panela Elétrica Oster Gran Sabor Bioceramic 3009 1500w,469,519,"R$ 519
R$ 46990
9% OFF
Frete grátis
1% vendido
Restam01:11:37
Panela Elétrica Oster Gran Sabor Bioceramic 3009 1500w
por DdMaquinas",0,SIM,50,9.63,80.78,20.0
825,"Kit 2 Banquetas Preta Alta Para Balcão,area Gourmet,bar",229,272,"R$ 272
R$ 22919
16% OFF
7x R$ 3274 sem juros
5% OFF com Pix
Frete grátis
20% vendido
Restam02:11:37
Kit 2 Banquetas Preta Alta Para Balcão,area Gourmet,bar",7,SIM,43,15.81,80.78,20.0
826,Varal De Chão Alumínio Grande Com Abas Dobravel Retratil,272,299,"R$ 299
R$ 27289
9% OFF
9x R$ 3032 sem juros
Frete grátis
Varal De Chão Alumínio Grande Com Abas Dobravel Retratil",9,SIM,27,9.03,80.78,20.0
827,Colcha Casal Padrão - 3 Peças - Charlotte,74,77,"R$ 77
R$ 74
5% OFF
6x R$ 1233 sem juros
Colcha Casal Padrão - 3 Peças - Charlotte",6,NÃO,3,3.9,80.78,20.0
828,Kit Colcha Solteiro Percal 180fios Buddemeyer Grid Azul 2pçs,319,399,"OFERTA DO DIA
R$ 399
R$ 31990
20% OFF
10x R$ 3199 sem juros
Frete grátis
Kit Colcha Solteiro Percal 180fios Buddemeyer Grid Azul 2pçs
por Buddemeyer",10,SIM,80,20.05,80.78,20.0
829,Tênis Nike Venture Runner Masculino,269,499,"R$ 499
R$ 26999
46% OFF
8x R$ 3375 sem juros
Frete grátis
Tênis Nike Venture Runner Masculino
por Nike",8,SIM,230,46.09,80.78,20.0
830,Fraldas Pampers Premium Care M 80 u,99,110,"R$ 110
R$ 9960
10% OFF
Frete grátis
Fraldas Pampers Premium Care M 80 u
por Web Mercadinho",0,SIM,11,10.0,80.78,20.0
831,Raquete De Beach Tennis Btr 960 Blast - Cor Cinza,1607,1999,"OFERTA DO DIA
R$ 1.999
R$ 1.607
19% OFF
12x R$ 13393 sem juros
Frete grátis
Raquete De Beach Tennis Btr 960 Blast - Cor Cinza
por Decathlon",12,SIM,392,19.61,80.78,20.0
832,Cortina Gaze De Linho E Forro Sala/quarto Glm 3.0 M X 2.6 M,260,289,"R$ 289
R$ 26091
10% OFF
8x R$ 3261 sem juros
Frete grátis
Cortina Gaze De Linho E Forro Sala/quarto Glm 3.0 M X 2.6 M",8,SIM,29,10.03,80.78,20.0
833,Cozinha Compacta Madesa Onix 180001 Armário E Balcão Branco,899,989,"OFERTA DO DIA
R$ 989
R$ 89999
9% OFF
Cozinha Compacta Madesa Onix 180001 Armário E Balcão Branco
por Madesa moveis",0,NÃO,90,9.1,80.78,20.0
834,Iluminador Led Ring Light Grande 46cm 18 Polegadas Tripé 2.1,471,496,"OFERTA DO DIA
R$ 496
R$ 47120
5% OFF
10x R$ 4712 sem juros
Frete grátis
Iluminador Led Ring Light Grande 46cm 18 Polegadas Tripé 2.1",10,SIM,25,5.04,80.78,20.0
835,Samsung Galaxy A71 Dual SIM 128 GB azul 6 GB RAM,2153,3499,"R$ 3.499
R$ 2.153
38% OFF
12x R$ 17942 sem juros
Frete grátis
Samsung Galaxy A71 Dual SIM 128 GB azul 6 GB RAM
por Mercado Livre",12,SIM,1346,38.47,80.78,20.0
836,Capa Protetora Cão Gato Petcar Banco Traseiro Impermeável,99,114,"OFERTA DO DIA
R$ 114
R$ 9999
12% OFF
6x R$ 1667 sem juros
Frete grátis
Capa Protetora Cão Gato Petcar Banco Traseiro Impermeável",6,SIM,15,13.16,80.78,20.0
837,Carregador Veicular + Cabo Dados Luxcar iPhone Lightning 12v,43,51,"OFERTA DO DIA
R$ 51
R$ 4360
15% OFF
Carregador Veicular + Cabo Dados Luxcar iPhone Lightning 12v",0,NÃO,8,15.69,80.78,20.0
838,Arandela Led 5w Externa Alumínio 2 Friso Lampada Inclusa,32,34,"R$ 34
R$ 3210
8% OFF
6x R$ 535 sem juros
1% vendido
Restam02:11:37
Arandela Led 5w Externa Alumínio 2 Friso Lampada Inclusa",6,NÃO,2,5.88,80.78,20.0
839,Médio Xrl800 Triton 800w 400 Rms 8ohms Profissional Paredão,594,660,"OFERTA DO DIA
R$ 660
R$ 59461
10% OFF
10x R$ 5946 sem juros
Frete grátis
Médio Xrl800 Triton 800w 400 Rms 8ohms Profissional Paredão",10,SIM,66,10.0,80.78,20.0
840,Bolsa Pequena Feminina Dubai Clutch Selten Oferta Limitada,69,77,"OFERTA DO DIA
R$ 77
R$ 6999
10% OFF
Bolsa Pequena Feminina Dubai Clutch Selten Oferta Limitada
por Selten",0,NÃO,8,10.39,80.78,20.0
841,60 Cabides Pretos Para Loja Envio Premium Para Atacado Roupa,58,64,"R$ 64
R$ 5841
10% OFF
60 Cabides Pretos Para Loja Envio Premium Para Atacado Roupa",0,NÃO,6,9.38,80.78,20.0
842,"Smart TV Philips 6800 Series 43PFG6825/78 LED Full HD 43"" 110V/240V",2099,2799,"R$ 2.799
R$ 2.099
25% OFF
12x R$ 17492 sem juros
Frete grátis
Smart TV Philips 6800 Series 43PFG6825/78 LED Full HD 43"" 110V/240V
por Mercado Livre",12,SIM,700,25.01,80.78,20.0
843,Kit 10 Lâmpadas Led 12w Kian Bulbo E27 Smd Bivolt,128,154,"OFERTA DO DIA
R$ 154
R$ 12881
16% OFF
6x R$ 2147 sem juros
Frete grátis
Kit 10 Lâmpadas Led 12w Kian Bulbo E27 Smd Bivolt",6,SIM,26,16.88,80.78,20.0
844,Trena Métrica Starrett 8 Metros,52,62,"OFERTA DO DIA
R$ 62
R$ 5291
16% OFF
Trena Métrica Starrett 8 Metros",0,NÃO,10,16.13,80.78,20.0
845,Colchão Inflável Casal Resistente + Bomba Ar Grátis Bestway,216,230,"OFERTA DO DIA
R$ 230
R$ 21620
6% OFF
7x R$ 3089 sem juros
Frete grátis
Colchão Inflável Casal Resistente + Bomba Ar Grátis Bestway",7,SIM,14,6.09,80.78,20.0
846,Samsung Galaxy A52 Dual SIM 128 GB preto 6 GB RAM,1949,2063,"R$ 2.063
R$ 1.949
5% OFF
12x R$ 16242 sem juros
Frete grátis
Samsung Galaxy A52 Dual SIM 128 GB preto 6 GB RAM
por Mobcom",12,SIM,114,5.53,80.78,20.0
847,Shorts Feminino Moletom Preto,9,19,"OFERTA DO DIA
R$ 19
R$ 999
50% OFF
Shorts Feminino Moletom Preto
por Eskala",0,NÃO,10,52.63,80.78,20.0
848,Modulo Taramps Ts 400x4 T400 Wrms Digital 4 Canais + 2 Rca,251,279,"R$ 279
R$ 25110
10% OFF
8x R$ 3139 sem juros
Frete grátis
Modulo Taramps Ts 400x4 T400 Wrms Digital 4 Canais + 2 Rca
por Detoner",8,SIM,28,10.04,80.78,20.0
849,Kit Atacado 5 Calça Jeans Sarja Masculina Skinny Lycra Promo,245,279,"R$ 279
R$ 24552
12% OFF
Frete grátis
Kit Atacado 5 Calça Jeans Sarja Masculina Skinny Lycra Promo",0,SIM,34,12.19,80.78,20.0
850,Volante Gamer Logitech Driving Force G920 Para Xbox One E Pc,1700,1999,"R$ 1.999
R$ 1.700
14% OFF
12x R$ 14167 sem juros
Frete grátis
Volante Gamer Logitech Driving Force G920 Para Xbox One E Pc
por Mercado Livre",12,SIM,299,14.96,80.78,20.0
851,Paquímetro Digital 6 Em Aço Inox 150mm Mtx Estojo E Bateria,66,73,"R$ 73
R$ 6651
10% OFF
Paquímetro Digital 6 Em Aço Inox 150mm Mtx Estojo E Bateria
por Ismafer Ferramentas",0,NÃO,7,9.59,80.78,20.0
852,Bicicleta Aro 29 Ksw Xlt 24 Marchas Shimano Freio Hidraulico,1529,1699,"R$ 1.699
R$ 1.529
10% OFF
12x R$ 12743 sem juros
Bicicleta Aro 29 Ksw Xlt 24 Marchas Shimano Freio Hidraulico",12,NÃO,170,10.01,80.78,20.0
853,Pneu 245/70r16 Bridgestone Dueler Ht 684 Ill 111t,737,819,"R$ 819
R$ 73791
10% OFF
Pneu 245/70r16 Bridgestone Dueler Ht 684 Ill 111t
por Achei Pneus",0,NÃO,82,10.01,80.78,20.0
854,Óleo para Cuidado da Pele Bio-Oil Caixa 200ml,56,67,"R$ 67
R$ 5695
15% OFF
Óleo para Cuidado da Pele Bio-Oil Caixa 200ml",0,NÃO,11,16.42,80.78,20.0
856,Cabo De Carga De Bateria Chupeta Carro Luxcar 350 Amperes,62,74,"OFERTA DO DIA
R$ 74
R$ 6292
15% OFF
Cabo De Carga De Bateria Chupeta Carro Luxcar 350 Amperes",0,NÃO,12,16.22,80.78,20.0
857,"Panela De Pressão Tramontina Vancouver 4,5 Lts + 5 Tigelas",237,269,"R$ 269
R$ 23750
12% OFF
Frete grátis
Panela De Pressão Tramontina Vancouver 4,5 Lts + 5 Tigelas",0,SIM,32,11.9,80.78,20.0
858,Cera Automotiva Líquida De Carnaúba Superbrilho Luxcar 500ml,27,33,"OFERTA DO DIA
R$ 33
R$ 2780
17% OFF
Cera Automotiva Líquida De Carnaúba Superbrilho Luxcar 500ml",0,NÃO,6,18.18,80.78,20.0
859,Kit Microfone Vhf Sem Fio Auricular Cabeça Headset Lapela,383,404,"OFERTA DO DIA
R$ 404
R$ 38380
5% OFF
10x R$ 3838 sem juros
Frete grátis
Kit Microfone Vhf Sem Fio Auricular Cabeça Headset Lapela",10,SIM,21,5.2,80.78,20.0
860,Garrafa Térmica De Inox 1 Litro Café Quente Água Gelada,71,78,"R$ 78
R$ 7109
10% OFF
6x R$ 1185 sem juros
Garrafa Térmica De Inox 1 Litro Café Quente Água Gelada",6,NÃO,7,8.97,80.78,20.0
861,Modelador Cachos Original Mq Professional Titanium Bivolt,279,329,"OFERTA DO DIA
R$ 329
R$ 27965
15% OFF
9x R$ 3107 sem juros
Frete grátis
Modelador Cachos Original Mq Professional Titanium Bivolt
por Beleza Renovada",9,SIM,50,15.2,80.78,20.0
862,"Smart TV Semp 32R5500 LED HD 32"" 127V/220V",1399,1799,"R$ 1.799
R$ 1.399
22% OFF
10x R$ 13990 sem juros
Frete grátis
Smart TV Semp 32R5500 LED HD 32"" 127V/220V
por Mercado Livre",10,SIM,400,22.23,80.78,20.0
863,Cadeira de escritório Trevalla TL-CDG-07 gamer ergonômica preta com estofado de poliuretano y mesh,599,738,"OFERTA DO DIA
R$ 738
R$ 59990
18% OFF
10x R$ 5999 sem juros
Frete grátis
Cadeira de escritório Trevalla TL-CDG-07 gamer ergonômica preta com estofado de poliuretano y mesh
por Estrela 10",10,SIM,139,18.83,80.78,20.0
864,Cadeira de escritório Trevalla TL-CDG-07 gamer ergonômica preta com estofado de poliuretano y mesh,599,738,"OFERTA DO DIA
R$ 738
R$ 59990
18% OFF
10x R$ 5999 sem juros
Frete grátis
Cadeira de escritório Trevalla TL-CDG-07 gamer ergonômica preta com estofado de poliuretano y mesh
por Estrela 10",10,SIM,139,18.83,80.78,20.0
865,Refletor Led 400w Branco Holofote Prova Dagua Campo E Quadra,263,279,"R$ 279
R$ 26319
6% OFF
Frete grátis
1% vendido
Restam02:11:34
Refletor Led 400w Branco Holofote Prova Dagua Campo E Quadra",0,SIM,16,5.73,80.78,20.0
